name,id,width,height,icon_width,icon_height,features,fleaMarket,flea_avg48,flea_ch48percent,prapor,therapist,fence,skier,peacekeeper,mechanic,ragman,jaeger
M855A1,54527ac44bdc2d36668b4567,1,1,,,,,0,,71,,56,,,79,,
Tri-Zip,545cdae64bdc2d39198b4568,5,6,,,,59999,75469,5.32,,,16600,20335,,,25730,24900
6B43 6A,545cdb794bdc2d3a198b456a,4,4,,,,,0,,,,153987,188634,1750,,238680,
TGlasses,557ff21e4bdc2d89578b4586,2,1,,,,1800,4559,-12.6,,,667,817,8,,1034,
MP-43 510mm,5580169d4bdc2d9d138b4585,3,1,,,,3500,13083,-29.04,,,1120,1372,13,1568,,
SV-98,55801eed4bdc2d89578b4588,4,1,,,,50000,62569,-2.01,12494,,9995,,114,13993,,14993
MP-43-1C,5580223e4bdc2d1c128b457f,2,1,,,,20000,25285,30.79,2900,,2320,,26,3248,,3480
EXPS3,558022b54bdc2dac148b458d,1,1,,,,35554,38695,4.77,13125,,10500,12862,119,14700,,
GEN M3,55802d5f4bdc2dac148b458e,1,2,,,,30000,18766,1.59,,,1518,,17,2126,,
MOE AR15,55802f5d4bdc2dac148b458f,1,1,,,,9999,13456,-5.23,,,1640,2009,19,2296,,
BGV-MK46K,558032614bdc2de7118b4585,1,1,,,,10000,8961,-3.52,,,1518,1860,17,2125,,
SV-98,559ba5b34bdc2d1f1a8b4582,1,1,,,,6000,8357,2.06,,,1560,,18,2184,,
M4A1,55d355e64bdc2d962f8b4569,2,1,,,,10000,15918,-29.62,,,2079,2547,24,2910,,
AR-15 260mm,55d35ee94bdc2d61338b4568,2,1,,,,33000,46670,-16.5,,,7647,9367,87,10706,,
AR-15 370mm,55d3632e4bdc2d972f8b4569,3,1,,,,24500,31021,-11.22,,,9826,12037,112,13757,,
MP-43 725mm,55d447bb4bdc2d892f8b456f,5,1,,,,3600,10420,-14.13,,,1400,1715,16,1960,,
MP133 610mm,55d448594bdc2d8c2f8b4569,4,1,,,,0,0,0,,,1960,2401,22,2745,,
MP133 510mm,55d4491a4bdc2d882f8b456e,3,1,,,,20000,20000,-63.49,,,1602,1962,18,2243,,
MP133 610mm rib,55d449444bdc2d962f8b456d,4,1,,,,0,0,0,,,2041,2500,23,2857,,
AR-15,55d44fd14bdc2d962f8b456e,1,1,,,,5111,7456,0,,,293,,3,410,,
KAC RIS,55d459824bdc2d892f8b4573,2,1,,,,12000,11702,-7.34,,,2711,3321,31,3795,,
MP133 beech,55d45d3f4bdc2d972f8b456c,2,1,,,,6969,15725,22.83,,,611,749,7,856,,
MP133 rails,55d45f484bdc2d972f8b456d,2,1,,,,30000,57995,-38.62,,,3660,4483,42,5124,,
6L23,55d480c04bdc2d1d4e8b456a,1,2,,,,2500,4815,-30.2,,,799,,9,1119,,
6L26,55d481904bdc2d8c2f8b456a,1,3,,,,12999,15560,4.58,,,1506,,17,2108,,
6L31,55d482194bdc2d1d4e8b456b,1,2,,,,19999,29294,7.64,,,7327,,83,10258,,
Saiga 545,55d4837c4bdc2d1d4e8b456c,1,1,,,,1000,9332,1.78,,,644,,7,902,,
MP-133x6,55d484b44bdc2d1d4e8b456d,2,1,,,,17777,11818,-24.87,,,502,,6,702,,
MP-133x8,55d485804bdc2d8c2f8b456b,3,1,,,,28887,28888,-0.95,,,918,,10,1285,,
PM drum,55d485be4bdc2d962f8b456f,2,2,,,,38800,56981,5.51,,,6892,,78,9649,,
STANAG,55d4887d4bdc2d962f8b4570,1,2,,,,5000,10088,-5.7,,,804,,9,1126,,
SPRM,55d48a634bdc2d8b2f8b456a,1,1,,,,44444,63330,30.93,,,1314,,15,1839,,
Sprut,55d48ebc4bdc2d8c2f8b456c,1,1,,,,2717,9496,-26.59,,,1035,,12,1449,,
M4SS,55d4ae6c4bdc2d8b2f8b456e,2,1,,,,7999,8697,13.54,,,1247,,14,1746,,
LPA2 FS,55d4af3a4bdc2d972f8b456f,1,1,,,,7750,0,0,300,,240,294,3,336,,
A2,55d4b9964bdc2d1d4e8b456e,1,1,,,,5400,6728,-23.02,,,485,594,6,679,,
A2 RS,55d5f46a4bdc2d1b198b4567,1,1,,,,9999,0,0,454,,363,444,4,508,,
556-MONSTER,55d614004bdc2d86028b4568,2,1,,,,24420,27297,-2.41,,,17200,21070,195,24080,,
556-MINI,55d6190f4bdc2d87028b4567,2,1,,,,50000,46738,5.81,,,23200,28420,264,32480,,
RIS II 9.5 CB,55f84c3c4bdc2d5f408b4576,2,1,,,,17500,20046,-2.37,,,5970,7314,68,8359,,
MP133 510mm rib,560835c74bdc2dc8488b456f,3,1,,,,55555,0,0,,,1608,1969,18,2251,,
MP133 540mm,560836484bdc2d20478b456e,3,1,,,,0,0,0,,,1560,1911,18,2184,,
MP133 540mm rib,560836b64bdc2d57468b4567,3,1,,,,0,0,0,,,1680,2058,19,2352,,
MP133 660mm,560836fb4bdc2d773f8b4569,4,1,,,,0,0,0,,,2002,2452,23,2802,,
MP133 660mm rib,560837154bdc2da74d8b4568,4,1,,,,0,0,0,,,2200,2695,25,3080,,
MP133 710mm,5608373c4bdc2dc8488b4570,5,1,,,,0,0,0,,,2449,3000,28,3428,,
MP133 710mm rib,560837544bdc2de22e8b456e,5,1,,,,0,0,0,,,2783,3409,32,3896,,
MP133 750mm,560837824bdc2d57468b4568,5,1,,,,0,0,0,,,2824,3460,32,3954,,
MP133 750mm rib,5608379a4bdc2d26448b4569,5,1,,,,0,0,0,,,3072,3763,35,4300,,
RTC 12ga,560838c94bdc2d77798b4569,1,1,,,,12000,19333,2.98,,,1113,1363,13,1558,,
133/153,56083a334bdc2dc8488b4571,1,1,,,,12000,10687,-42.28,,,2604,,30,3645,,
133/153 plastic,56083be64bdc2d20478b456f,2,1,,,,25000,44333,1.79,,,616,,7,862,,
133/153 wood,56083cba4bdc2de22e8b456f,2,1,,,,3000,0,0,,,599,,7,839,,
SV98 RS,56083e1b4bdc2dc8488b4572,1,1,,,,60000,0,0,499,,399,489,5,559,,
SV98 HR,56083eab4bdc2d26448b456a,1,1,,,,2552,12366,1.32,,,936,,,1311,,
7mm,560d5e524bdc2d25448b4571,1,1,,,,30,52,-34.64,15,,12,,,16,,
SNB,560d61e84bdc2da74d8b4571,1,1,,,,,0,,187,,150,,,210,,
Klesch-2P,560d657b4bdc2da74d8b4572,1,1,,,,15999,17076,12.37,,,6270,7681,71,8778,,
SNB,560d75f54bdc2da74d8b4573,1,1,,,,0,0,0,,,400,,,,,
SV98 MD,560e620e4bdc2d724b8b456b,1,1,,,,12999,13555,-50.59,,,598,733,7,838,,
AK-74N,5644bd2b4bdc2d3b4c8b4572,4,1,,,,27700,57747,-63.23,11573,,9258,,105,12962,,
Kiver-M,5645bc214bdc2d363b8b4571,2,2,,,,24000,27129,-9.22,,,12449,15250,141,,19296,
ComTac 2,5645bcc04bdc2d363b8b4572,2,2,,,,37000,38997,-3.05,,,12683,15537,144,,19659,
BlackRock,5648a69d4bdc2ded0b8b457b,3,4,,,,38000,42001,-4.26,20350,,16280,19943,185,,25234,24420
PACA,5648a7494bdc2d9d488b4583,3,3,,,,29000,30000,-6.67,,,9135,11191,104,,14160,
RP-1,5648ac824bdc2ded0b8b457d,1,1,,,,4900,7958,-19.55,,,1065,,12,1491,,
RS47,5648ae314bdc2d3d1c8b457f,1,1,,,,14000,15254,4.31,,,4255,5212,48,5957,,
6P20 Sb.6,5648b0744bdc2d363b8b4578,1,1,,,,12345,12345,0,,,320,392,4,448,,
6P20 Sb.9,5648b1504bdc2d9d488b4584,1,1,,,,10000,15691,56.91,,,408,500,5,572,,
B10M+B19,5648b4534bdc2d3d1c8b4580,1,1,,,,19750,29256,4.17,,,5330,6530,61,7463,,
MPR45,5649a2464bdc2d91118b45a8,1,1,,,,13850,18218,-9.92,,,1235,,14,1729,,
6P20 0-20,5649aa744bdc2ded0b8b457e,1,1,,,,10000,0,0,,,277,340,3,388,,
DTK-1,5649ab884bdc2ded0b8b457f,1,1,,,,8000,13660,-4.41,,,1692,2072,19,2368,,
6P1 Sb.8V,5649ad3f4bdc2df8348b4585,1,1,,,,2000,2000,0,,,305,374,3,427,,
6P1 Sb.8,5649ade84bdc2d1b2b8b4587,1,1,,,,8000,8500,-53.64,,,315,386,4,441,,
RK-3,5649ae4a4bdc2d1b2b8b4588,1,1,,,,23998,32283,-3.99,,,3248,3978,37,4547,,
6P1 0-1,5649af094bdc2df8348b4586,2,1,,,,10000,10000,0,,,416,510,5,583,,
B-33,5649af884bdc2d1b2b8b4589,2,1,,,,17900,25330,-6.78,,,5419,6639,62,7587,,
6P20 Sb.2,5649b0544bdc2d1b2b8b458a,1,1,,,,540,0,0,249,,199,244,2,279,,
6P20 Sb.7,5649b0fc4bdc2d17108b4588,2,1,,,,16666,16666,0,,,827,,9,1158,,
6P20 Sb.5,5649b1c04bdc2d16268b457c,2,1,,,,6969,6969,0,,,738,,8,1034,,
ME4,5649b2314bdc2d79388b4576,1,1,,,,11000,22289,10.58,,,2021,,23,2829,,
Carbine,5649be884bdc2d79388b4577,2,1,,,,5000,10109,10.71,,,470,,5,658,,
TT01,5649d9a14bdc2d79388b4580,1,1,,,,9999,14543,-21.31,1349,,1079,1322,12,1510,,
PS,5649ed104bdc2d3d1c8b458b,1,1,,,,6000,6000,0,,,400,,,,,
6L20,564ca99c4bdc2d16268b4589,1,2,,,,2211,6659,-29.09,,,812,,9,1137,,
6L18,564ca9df4bdc2d35148b4569,1,3,,,,8998,12979,4.85,,,1412,,16,1976,,
TGP-A,564caa3d4bdc2d17108b458e,2,1,,,,29000,37029,-2.29,,,16755,20525,190,23457,,
PS,5656d7c34bdc2d9d198b4587,1,1,,,,118,198,-54.34,41,,33,,,46,,
40mm,5656eb674bdc2d35148b457c,1,1,,,,12222,17082,-7.46,3375,,2700,,,3780,,
Pistols,567143bf4bdc2d1a0f8b4567,2,2,,,,200000,221349,-5.47,,6930,4400,,,,6820,
Dorm 118,5672c92d4bdc2d180f8b4567,1,1,,,,4000,6398,-42.2,2679,3376,2143,,,,,
AA batt.,5672cb124bdc2d1a0f8b4568,1,1,,,,2000,4232,-10.81,326,410,260,319,,,,
D batt.,5672cb304bdc2dc2088b456a,1,1,,,,15000,18325,16.25,1103,1390,882,1081,,,,
GMcount,5672cb724bdc2dc2088b456b,1,2,,,,16666,17328,-0.74,,10510,6673,8175,76,9343,,
Saury,5673de654bdc2d180f8b456d,1,1,,,,12155,12106,9.81,,1610,1022,,,,,1533
Crickent,56742c284bdc2d98058b456d,1,1,,,,9999,10606,-17.96,,831,528,,,,,
Zibbo,56742c2e4bdc2d95058b456d,1,1,,,,8800,10267,-14.68,,6058,3846,,,,,
GPhone,56742c324bdc2d150f8b456d,1,1,,,,16000,18271,-0.54,,11769,7472,9154,85,10461,,
USD,5696686a4bdc2da3298b456a,1,1,,,,,0,,,,,,,,,
EUR,569668774bdc2da2298b4568,1,1,,,,,0,,,,,,,,,
P226R,56d59856d2720bd8418b456a,2,1,,,,11800,13493,-12.31,3119,,2495,,28,3493,,
P226,56d59948d2720bb7418b4582,1,1,,,,24000,0,0,,,838,,10,1173,,
Pst,56d59d3ad2720bdb418b4577,1,1,,,,399,506,-32.89,31,,24,,,34,,
P226 112mm,56d5a1f7d2720bb3418b456a,1,1,,,,1500,0,0,,,625,765,7,875,,
P226 blk,56d5a2bbd2720bb8418b456a,1,1,,,,15000,0,0,,,400,490,5,560,,
P226 Slide,56d5a407d2720bb3418b456b,2,1,,,,3595,3595,0.24,,,1284,1572,15,1797,,
P226 FS,56d5a661d2720bd8418b456b,1,1,,,,5000,0,0,250,,200,245,2,280,,
P226 RS,56d5a77ed2720b90418b4568,1,1,,,,1000,0,0,302,,242,296,3,338,,
MP-153,56dee2bdd2720bc8328b4567,3,1,,,,60000,63769,38.4,7490,,5992,,68,8389,,8988
MP153 750mm,56deec93d2720bec348b4568,5,1,,,,15000,14000,5.27,,,3047,3733,35,4266,,
MP153 Poly,56deed6ed2720b4c698b4583,2,1,,,,22000,26199,34.09,,,1355,1660,15,1897,,
MP153x4,56deee15d2720bee328b4567,1,1,,,,41000,0,0,,,200,,2,280,,
MP153x8,56deeefcd2720bc8328b4568,3,1,,,,30000,0,0,,,848,,10,1188,,
X400,56def37dd2720bec348b456a,1,1,,,,12333,14908,3.07,,,4480,5488,51,6272,,
BP,56dfef82d2720bbd668b4567,1,1,,,,480,581,-7.6,64,,51,,,72,,
BS,56dff026d2720bb8668b4567,1,1,,,,,0,,190,,152,,,212,,
BT,56dff061d2720bb5668b4567,1,1,,,,,0,,120,,96,,,134,,
FMJ,56dff0bed2720bb0668b4567,1,1,,,,61,0,0,18,,14,,,20,,
HP,56dff216d2720bbd668b4568,1,1,,,,55,100,6.78,34,,27,,,38,,
PP,56dff2ced2720bb4668b4567,1,1,,,,244,378,-3.13,54,,43,,,60,,
PRS,56dff338d2720bbd668b4569,1,1,,,,41,44,-29.3,23,,18,,,25,,
PS,56dff3afd2720bba668b4567,1,1,,,,100,155,-36.47,37,,29,,,41,,
SP,56dff421d2720b5f5a8b4567,1,1,,,,60,57,-23.08,30,,24,,,33,,
T,56dff4a2d2720bbd668b456a,1,1,,,,43,62,45.26,20,,16,,,22,,
US,56dff4ecd2720b5f5a8b4568,1,1,,,,86,168,-32.62,39,,31,,,44,,
PB,56e0598dd2720bb5668b45a6,2,1,,,,19500,18141,5.86,5749,,4599,,52,6438,,
PB bak.,56e05a6ed2720bd0748b4567,1,1,,,,8999,16555,178.06,,,400,490,5,560,,
PB supp.,56e05b06d2720bb2668b4586,2,1,,,,7999,8557,-25.34,,,3892,4767,44,5448,,
ScavBP,56e335e4d2720b6c058b456d,4,5,,,,19809,17443,-11.83,,,7197,8817,,,11156,10796
Duffle,56e33634d2720bd8058b456b,4,3,,,,10000,17585,-1.66,,,830,1016,,,1286,1245
T-Bag,56e33680d2720be2748b4576,3,3,,,,2499,5656,-16.32,,,732,897,,,1135,1098
KX3 556,56ea6fafd2720b844b8b4593,1,1,,,,8000,8558,-30.53,,,2894,3546,33,4052,,
FF 4-16,56ea70acd2720b844b8b4594,2,1,,,,33333,34314,-1.42,,,22313,27334,254,31239,,
BOTL,56ea7165d2720b6e518b4583,1,1,,,,9999,17902,-11.98,,,1758,,20,2461,,
SM220-239,56ea7293d2720b8d4b8b45ba,1,1,,,,0,0,0,1909,,1527,1871,17,2138,,
QDC 556,56ea8180d2720bf2698b456a,1,1,,,,6999,15240,4.96,,,2200,2695,25,3080,,
SV98 Bipod,56ea8222d2720b69698b4567,2,1,,,,8888,11381,4.56,2134,,1707,2091,19,2390,,
RGBlock,56ea8d2fd2720b7c698b4570,1,1,,,,9000,9351,-14.1,,,1676,2053,19,2346,,
MK12,56eabcd4d2720b66698b4574,1,1,,,,11111,20075,-22.8,,,1902,2330,22,2663,,
MOE,56eabf3bd2720b75698b4569,2,1,,,,59999,42749,-4.24,,,3087,,35,4322,,
553,570fd6c2d2720bc6458b457f,1,1,,,,20000,23833,0.03,9688,,7750,9494,88,10851,,
MRS,570fd721d2720bc5458b4596,1,1,,,,14000,14806,-12.07,5000,,4000,4900,45,5600,,
OKP-7,570fd79bd2720bc7458b4583,1,1,,,,16200,16233,-10.13,6383,,5106,6255,58,7149,,
F-1,5710c24ad2720bc3458b45a3,1,1,,,,11000,13851,-17.69,2800,,2240,,,,,
ECS FDE,571659bb2459771fb2755a12,1,1,,,,4000,6403,-27.09,,,639,783,7,895,,
TT,571a12c42459771f627b58a0,2,1,,,,7750,10988,1.64,2094,,1675,,19,2345,,
TT 116mm,571a26d524597720680fbe8a,1,1,,,,11000,0,0,,,466,570,5,652,,
TT 121mm thr.,571a279b24597720b4066566,1,1,,,,14978,14978,0,,,859,1053,10,1203,,
TT grips,571a282c2459771fb2755a69,1,1,,,,4999,7044,26.06,,,402,492,5,563,,
TT supp.,571a28e524597720b4066567,2,1,,,,9977,10110,-17.91,,,5961,7302,68,8346,,
tt-105,571a29dc2459771fb2755a6a,1,1,,,,1261,3130,0,,,462,,5,647,,
PVS-14,57235b6f24597759bf5a30f1,1,1,,,,78999,73618,1.5,,,36780,,418,51492,,
Scav Vest,572b7adb24597762ae139821,2,3,,,,24999,18511,-10.06,2099,,1679,2057,19,,2603,2519
Cap,572b7d8524597762b472f9d1,1,1,,,,5555,7292,-33.34,,,408,500,5,,633,
Balaclava,572b7f1624597762ae139822,1,1,,,,4411,6669,48.12,,,1035,1268,12,,1605,
Beanie,572b7fa124597762b472f9d2,1,1,,,,2600,3777,-23.78,,,428,524,5,,663,
Half-mask,572b7fa524597762b747ce82,1,1,,,,9998,10139,-1.99,,,1045,1280,12,,1620,
Waist bag,5732ee6a24597719ae0c0281,2,2,,,,,0,,,,,,,,,
Car batt.,5733279d245977289b77ec24,3,2,,,,44000,46604,-2.42,30781,38784,24625,30165,,,,
Chainlet,573474f924597738002c6174,1,1,,,,6999,7483,-2.23,,4558,2894,3545,33,,,
GoldChain,5734758f24597738025ee253,1,1,,,,12222,35573,-4.67,,24051,15270,18706,174,,,
Apollo,573475fb24597737fb1379e1,1,1,,,,4999,9986,12.19,1250,1575,1000,1225,,,,
Malboro,573476d324597737da2adc13,1,1,,,,10000,12236,-13.16,1105,1392,884,1082,,,,
Wilston,573476f124597737e04bf328,1,1,,,,5500,7134,1.62,3992,5029,3193,3912,,,,
Strike,5734770f24597738025ee254,1,1,,,,7750,11585,-24.43,1560,1965,1248,1528,,,,
Cond. milk,5734773724597737fd047c14,1,1,,,,17000,17170,-0.81,,15714,9977,,,,,14965
CPU fan,5734779624597737e04bf329,1,1,,,,7900,15395,-18.95,,2942,1868,2288,21,2615,,
CPU,573477e124597737dd42e191,1,1,,,,6666,10075,-1.78,,8765,5565,6817,63,7791,,
DVD,5734781f24597737e04bf32a,2,1,,,,12420,11050,-1.27,,5225,3318,4064,38,4645,,
Horse,573478bc24597738002c6175,1,2,,,,45000,16768,3.06,,7212,4579,5609,52,,,
Tape,5734795124597738002c6176,1,1,,,,7777,14275,-6.27,1009,1271,807,,,,,1211
Matches,57347b8b24597737dd42e192,1,1,,,,14400,14928,8.88,,1272,808,,,,,
RAM,57347baf24597738002c6178,1,1,,,,9879,10648,-3.2,,6908,4386,5373,50,6140,,
Duct tape,57347c1124597737fb1379e3,1,1,,,,13555,15677,17.05,1249,1574,999,,,,,1499
PSU,57347c2e24597744902c94a1,2,2,,,,44400,47712,1.47,,4999,3174,3888,36,4444,,
Bolts,57347c5b245977448d35f6e1,1,1,,,,27500,27045,4.07,5500,6930,4400,,,,,6600
Nuts,57347c77245977448d35f6e2,1,1,,,,20000,22880,4.14,4350,5481,3480,,,,,5220
Toothpaste,57347c93245977448d35f6e3,1,1,,,,35420,12884,-32.47,963,1214,770,944,,,,
GPU,57347ca924597744596b4e71,2,1,,,,310000,337725,-1.15,,124740,79200,97020,900,110880,,
T-Plug,57347cd0245977445a2d6ff1,1,1,,,,7700,9798,-18.11,,1563,992,1215,11,1389,,
Croutons,57347d3d245977448f7b7f61,1,1,,,,10000,48478,-35.78,,315,200,,,,,300
Humpback,57347d5f245977448b40fa81,1,1,,,,9444,11203,-11.01,,1845,1172,,,,,1758
Peas,57347d692459774491567cf1,1,1,,,,9999,11294,-5.98,,4095,2600,,,,,3900
Tushonka,57347d7224597744596b4e72,1,1,,,,8888,11006,5.01,,7088,4500,,,,,6751
Squash,57347d8724597744596b4e76,1,1,,,,17000,15600,-9.27,,3885,2467,,,,,3700
Oatflakes,57347d90245977448f7b7f65,1,2,,,,10999,13731,-0.23,,3507,2227,,,,,3340
Herring,57347d9c245977448b40fa85,1,1,,,,22150,17712,-6.94,,1857,1179,,,,,1768
Tushonka,57347da92459774491567cf5,1,1,,,,11000,15452,3.58,,5287,3357,,,,,5035
AKBS,5735fdcd2459776445391d61,1,1,,,,0,0,0,24,,19,,,27,,
FMJ43,5735ff5c245977640e39ba7e,1,1,,,,54,54,-54.07,25,,20,,,28,,
LRN,573601b42459776410737435,1,1,,,,60,60,25,24,,19,,,26,,
LRNPC,573602322459776445391df1,1,1,,,,0,0,0,34,,27,,,38,,
P,5736026a245977644601dc61,1,1,,,,55,0,0,26,,20,,,29,,
Pst,573603562459776430731618,1,1,,,,0,0,0,35,,28,,,39,,
PT,573603c924597764442bd9cb,1,1,,,,0,0,0,31,,25,,,35,,
BZhT,573718ba2459775a75491131,1,1,,,,150,439,-2.21,32,,26,,,36,,
P,573719762459775a626ccbc1,1,1,,,,13,165,78.57,6,,4,,,6,,
PBM,573719df2459775a626ccbc2,1,1,,,,418,546,-3.03,35,,28,,,39,,
PstM,57371aab2459775a77142f22,1,1,,,,222,351,-32.16,57,,46,,,64,,
PPe,57371b192459775a9f58a5e0,1,1,,,,55,0,0,25,,20,,,28,,
PPT,57371e4124597760ff7b25f1,1,1,,,,46,201,1.8,21,,17,,,24,,
PRS,57371eb62459776125652ac1,1,1,,,,0,0,0,19,,15,,,21,,
PS PPO,57371f2b24597761224311f1,1,1,,,,24,139,-36.39,14,,11,,,16,,
PSO,57371f8d24597761006c6a81,1,1,,,,22,0,0,11,,8,,,12,,
Pst,5737201124597760fc4431f1,1,1,,,,245,299,199,22,,18,,,25,,
PSV,5737207f24597760ff7b25f2,1,1,,,,100,325,48.36,34,,27,,,38,,
RG028,573720e02459776143012541,1,1,,,,375,226,-17.05,39,,31,,,43,,
SP7,57372140245977611f70ee91,1,1,,,,400,702,41.23,48,,38,,,54,,
SP8,5737218f245977612125ba51,1,1,,,,189,387,-19,22,,18,,,25,,
BZhT,573722e82459776104581c21,1,1,,,,1000,0,0,,,400,,,,,
P,573724b42459776125652ac2,1,1,,,,0,0,0,,,400,,,,,
PBM,5737250c2459776125652acc,1,1,,,,15000,0,0,,,400,,,,,
PstM,5737256c2459776125652acd,1,1,,,,1000,1000,0,,,400,,,,,
PPe,573725b0245977612125bae2,1,1,,,,15000,0,0,,,400,,,,,
PPT,5737260b24597761224311f2,1,1,,,,3200,0,0,,,400,,,,,
PRS,5737266524597761006c6a8c,1,1,,,,0,0,0,,,400,,,,,
PS PPO,573726d824597765d96be361,1,1,,,,5000,0,0,,,400,,,,,
PSO,5737273924597765dd374461,1,1,,,,20000,20571,0,,,400,,,,,
Pst,573727c624597765cc785b5b,1,1,,,,30000,0,0,,,400,,,,,
PSV,5737280e24597765cc785b5c,1,1,,,,0,0,0,,,400,,,,,
RG028,5737287724597765e1625ae2,1,1,,,,0,0,0,,,400,,,,,
SP7,573728cc24597765cc785b5d,1,1,,,,25000,0,0,,,400,,,,,
SP8,573728f324597765e5728561,1,1,,,,2400,6250,0,,,400,,,,,
BP,5737292724597765e5728562,2,1,,,,60000,0,0,,,400,,,,,
BP,57372ac324597767001bc261,1,1,,,,20000,20210,0,,,400,,,,,
BS,57372b832459776701014e41,2,1,,,,,0,,,,400,,,,,
BS,57372bd3245977670b7cd243,1,1,,,,,0,,,,400,,,,,
BT,57372c21245977670937c6c2,2,1,,,,,0,,,,400,,,,,
BT,57372c89245977685d4159b1,1,1,,,,,0,,,,400,,,,,
PP,57372d4c245977685a3da2a1,2,1,,,,10000,10000,33.33,,,400,,,,,
PP,57372db0245977685d4159b2,1,1,,,,14909,0,0,,,400,,,,,
PRS,57372deb245977685d4159b3,2,1,,,,8888,9193,-62.08,,,400,,,,,
PRS,57372e4a24597768553071c2,1,1,,,,1000,1000,0,,,400,,,,,
PS,57372e73245977685d4159b4,2,1,,,,25000,25000,55.17,,,400,,,,,
PS,57372ebf2459776862260582,1,1,,,,15000,0,0,,,400,,,,,
T,57372ee1245977685d4159b5,2,1,,,,10000,9453,15.51,,,400,,,,,
T,57372f5c24597769917c0131,1,1,,,,8000,0,0,,,400,,,,,
US,57372fc52459776998772ca1,2,1,,,,8500,8750,-7.76,,,400,,,,,
US,5737300424597769942d5a01,1,1,,,,0,0,0,,,400,,,,,
FMJ,5737330a2459776af32363a1,1,1,,,,0,0,0,,,400,,,,,
HP,5737339e2459776af261abeb,1,1,,,,7777,0,0,,,400,,,,,
SP,573733c72459776b0b7b51b0,1,1,,,,0,0,0,,,400,,,,,
Pst,5739d41224597779c3645501,1,1,,,,2000,0,0,,,400,,,,,
OKP-7 Dove,57486e672459770abd687134,1,1,,,,12000,17996,-6.06,7577,,6062,7425,69,8486,,
SKS,574d967124597745970e7c94,4,1,,,,14000,25349,-7.84,9665,,7732,,88,10825,,
56-A-231 Sb.5,574dad8024597745964bf05c,4,1,,,,34000,0,0,,,1512,,17,2116,,
SKS RS,574db213245977459a2f3f5d,1,1,,,,20000,0,0,150,,120,147,1,168,,
